place,mood
Alchemist The Heeren,Calm
Ang Mo Kio Public Library,Tired
Atlas Café,Calm
Barry’S - Raffles Place,Excited
Bft Kembangan,Calm
Bishan Activesg Gym,Calm
Bukit Timah Nature Reserve,Calm
Central Sikh Gurdwara,Calm
Changi Beach Park,Calm
Chesed-El Synagogue,Calm
Church Of Our Lady Of Lourdes,Calm
Church Of Saints Peter & Paul,Calm
Clementi Public Library,Calm
Craftsmen Coffee (Holland V),Calm
D.Bespoke,Calm
Dutch Colony Coffee Co.,Calm
Elevate: The Barbell Club,Calm
Employees Only Singapore,Stressed
Foo Hai Ch'An Monastery,Calm
Genesis Gym,Excited
Geylang East Public Library,Happy
Glasshouse,Calm
Gold'S Gym Personal Training - Crane Road,Tired
Jimmy Monkey Cafe & Bar,Calm
Jurong Lake Gardens,Happy
Justco – 120 Robinson Road Coworking & Office Space,Excited
Kranji Marshes,Calm
Library@Chinatown,Happy
Library@Harbourfront,Happy
Lower Peirce Reservoir Park,Calm
Masjid Sultan Singapore,Calm
Mo Bar,Calm
Nutmeg & Clove,Calm
O2Work,Calm
One&Co,Happy
Pasir Ris Public Library,Happy
Pasir Ris Town Park,Calm
Pulau Ubin,Calm
Pure Yoga Asia Square Tower 1,Excited
Revolution Orchard,Happy
Sakya Muni Buddha Gaya Temple,Calm
Sarnies,Calm
Sembawang Public Library,Happy
Serangoon Public Library,Happy
Smoke & Mirrors,Calm
Southern Ridges,Calm
Sri Srinivasa Perumal Temple,Calm
St. Joseph'S Church (Bukit Timah),Calm
Sungei Buloh Wetland Reserve,Calm
The Elephant Room Singapore,Calm
The Executive Centre - Ocean Financial Centre,Angry
The Hive Carpenter,Happy
The Local Cafe,Tired
The Other Room,Excited
The Populus,Calm
The Secret Mermaid,Calm
The Strength Yard,Excited
The Working Capitol,Happy
Toa Payoh Public Library,Happy
Toby'S Estate Coffee Roasters Singapore,Calm
Twenty Eight Cafe,Calm
Uclub Bugis Junction Co-Working Space Singapore,Happy
Vertical Space,Excited
Wat Ananda Metyarama,Calm
West Coast Park,Calm
Wework - Office Space & Coworking,Calm
Whiskey Library & Jazz Club,Calm
Workbuddy,Tired
Yishun Public Library,Happy
Yoga Movement Serangoon Gardens,Happy
